repo,issue_link,issue_id,post,question,answer
qgis/QGIS,https://github.com/qgis/QGIS/issues/34486,qgis_QGIS_issues_34486,"""automatically pan/zoom to the current feature"" is broken

QGIS 3.10.2/master on Windows and Linux. Open a attribute table in form view, then enable the ""automatically pan to the current feature"" or ""automatically zoom to the current feature"" and navigate the feature with the provided arrows. No pan or zoom whatsoever. ![Peek 2020-02-16 19-46](https://user-images.githubusercontent.com/1951107/74611622-5f0b3100-50f5-11ea-8742-59c75c07c1ff.gif)",Can you share the project?,"@3nids found the culprit, is happens when ![Screenshot_20200216_203237](https://user-images.githubusercontent.com/1951107/74612252-7e0cc180-50fb-11ea-890c-dbce4a96eb2b.png) is selected rather than ![Screenshot_20200216_203306](https://user-images.githubusercontent.com/1951107/74612257-8bc24700-50fb-11ea-96f2-da98d4c8622e.png)"
qgis/QGIS,https://github.com/qgis/QGIS/issues/32366,qgis_QGIS_issues_32366,"Report : Predefined scale (best fit) doesnt' work

Aloha, **Describe the bug** In a report, if you set the Controlled by atlas property to Predefined scale (best fit), the map item will be transformed (in my case, its height and length were augmented and the map weren't contained anymore in the layout). The property works properly in a simple atlas made with composer. **How to Reproduce** Create a report, add a group attribute section create a map set the Controlled by atlas property to Predefined scale (best fit) ![image](https://user-images.githubusercontent.com/5716587/67407244-84f54e80-f5b7-11e9-8704-1898d2b4a82e.png) ![image](https://user-images.githubusercontent.com/5716587/67407322-9b9ba580-f5b7-11e9-8e27-9f56833d006d.png) ![image](https://user-images.githubusercontent.com/5716587/67407367-ac4c1b80-f5b7-11e9-9124-b45180499b77.png)",What version of QGIs are you using ?,Thanks. We're actually in 3.4.7.
qgis/QGIS,https://github.com/qgis/QGIS/issues/30171,qgis_QGIS_issues_30171,"Error writing to pivot table in many-to-many relations when adding related feature

I get a foreign key constraint violation in postgis database when trying to add a new feature from relation widget. Looks like QGIS tries first to write to pivot table and then to a related table. That's a wrong order. It should first write to a related table and then to a pivot table.",What QGIS version?,3.6
qgis/QGIS,https://github.com/qgis/QGIS/issues/32093,qgis_QGIS_issues_32093,"Make label rotation data driven

Looks like `rotation` property of `Labels` dialog is the only one, that can't be set by expression. Could it be made data defined?",Which rotation property are you referring to? Maybe I misunderstand but I can see a data defined rotation property in Labels --> Placement --> Data-defined frame,I'm referring to rotation property of polygon labels. ![image](https://user-images.githubusercontent.com/966321/66377010-6ab55100-e9b9-11e9-8e36-d105b1e40078.png)
qgis/QGIS,https://github.com/qgis/QGIS/issues/31541,qgis_QGIS_issues_31541,"Union algorithm with a single layer returns incomplete geometry

I have a shapefile on which I apply the [Union ](http://changelog.qgis.org/en/qgis/version/3.2.0/#union-algorithm-with-single-layer)algorithm using only this layer (no overlapping layers): 1. startup algorithm union 2. select the layer 3. save as GeoPackage ![image](https://user-images.githubusercontent.com/7631137/64166064-9e470d80-ce46-11e9-8627-a1900d2026f0.png) at the end of the process I DO NOT receive errors in the log but the geometry is clearly not complete, a piece is missing. ![image](https://user-images.githubusercontent.com/7631137/64153396-1570a780-ce2f-11e9-8cf4-f00f030bceee.png) PS1: if I left as a temporary file I get an error (issue [#31528](https://github.com/qgis/QGIS/issues/31528)) PS2: if I save in shp I get an error and the geometry is incomplete ## problem related to this issue [#31528](https://github.com/qgis/QGIS/issues/31528) ?? ## shapefile: [shape.zip](https://github.com/qgis/QGIS/files/3568314/shape.zip)  ## OSGeo4W64 Win 10 win 10",Can you confirm? If this is the case (we need a dev confirmation) this could affect also other tools.,"@gioman Unfortunately I cannot confirm, other errors remain. ![image](https://user-images.githubusercontent.com/7631137/64201168-4e8c3480-ce8e-11e9-8e7b-3e9f1aaa47be.png) ![image](https://user-images.githubusercontent.com/7631137/64201233-7bd8e280-ce8e-11e9-8819-856fad5d96b4.png) You get an error in the EPSG 4326 case ??"
qgis/QGIS,https://github.com/qgis/QGIS/issues/33428,qgis_QGIS_issues_33428,"Restore Project / Scratch Layers after abnormal termination

Using the latest version of QGIS (at the time of this request 3.10.1) means that I have to deal with crashes. It would be much easier to deal with them if after starting up after a crash QGIS asked me if I wanted to restore my previous session including scratch / memory layers. Photoshop has similar functionality to this. This would also protect against power outages and give the user the ability to control-alt-delete to end the program if a process was taking much longer than expected without losing all their work.",What are the crashes that you are experiencing?,"All manor of crashes. It sometimes even crashes when it's sitting idle. My work involves a lot of process automation. Right now I am creating extensive python scripts to automate mapping and data workflows. After I run a script that modifies a layout, for example adding a layer to an existing LayoutItemLegend than the session becomes unstable and if I attempt to open the layout that was modified QGIS churns for a long while and then crashes. Interestingly, it seems that if I wait for a few minutes after my script completes then there seem to be fewer crashes as if there is additional housekeeping happening after my script finishes. This is one example, but as I said the crashes have been pretty frequent. So much so that I have restored my system from an image and only installed base programs to make sure I don't have a corrupt install. They also occur on two separate PCs. I do a lot of saving to minimize data loss, but having a restore mechanism would be much more efficient. I think it's normal that there will be a few crashed when using the latest version of open-source software. Having the ability to restore one's last session would definitely encourage more people to use and test development versions."
qgis/QGIS,https://github.com/qgis/QGIS/issues/30154,qgis_QGIS_issues_30154,"PyQGIS: Error adding layer to Overview Panel

**Describe the bug** I am writing a QGIS plugin and I want to have a **method that adds a layer to the map and show it in the Overview Panel**. This is working but the layer is showing ""distorted"" in the Overview panel until, for example you resize the overview panel and it refreshes. Is this a bug in QGIS? **How to Reproduce** 1. Open QGIS (or a new project) 2. Open Python Console 3. Open the editor from the console 4. Paste the following code and press ""Run Script""  Observations: - The layer in the Overview in showing distorted. - You can resize the panel, it refreshes and reloads correctly. You can also refresh it running from the Python console: `iface.layerTreeCanvasBridge().overviewCanvas().refresh()` - If you remove the layer and execute the code again, it will run correctly, so you must reopen QGIS or close and open a new project. - If you run the snippet directly from the python console, it will run ok. **QGIS and OS versions** I have tried in QGIS 3.6.3 and 3.4.7, both in Ubuntu 18.04 and Windows 10.","What is the CRS of the new project? What is the CRS after you added the layer? BTW, you can do a single block code with python syntax highlighted. https://help.github.com/en/articles/creating-and-highlighting-code-blocks#syntax-highlighting","Thank you very much!, formatting of block of code fixed. The CRS of a new project is EPSG:4326, and is EPSG:3857 after adding the layer. But note that the layer i**s always loaded correctly in the main map**, the problem is in the overview panel (and it corrects automatically after resizing the panel)."
qgis/QGIS,https://github.com/qgis/QGIS/issues/33723,qgis_QGIS_issues_33723,"Editing non-spatial tables is broken

I am trying to add a record to a non-spatial table (geopackage). But it is completely broken. Every time I apply changes, it resets the values. ![non-spatial-table](https://user-images.githubusercontent.com/2649047/72146565-a97ded00-3394-11ea-91b5-d571a1564757.gif)",Which QGIS version(s) is/are affected?,Ahhhh...thanks @DelazJ ...my bad. I seem to remember to button for a single feature was there!
qgis/QGIS,https://github.com/qgis/QGIS/issues/34303,qgis_QGIS_issues_34303,"Incorrect results when running Query Builder to filter features for a layer

To replicate the issue in QGIS master: - Add a vector layer - Go to Properties > Source - Select Query Builder - Write a valid query and click on Test - The result is not shown correctly: ![image](https://user-images.githubusercontent.com/2649047/73835704-c546a880-4805-11ea-8957-840e5e9c902c.png)",Can you attach a sample project? Why did you close this btw?,"Ale, after filing the ticket and reloading the layer, all started working again! Magic of ![Alt Text](https://media.giphy.com/media/F7yLXA5fJ5sLC/giphy.gif)"
qgis/QGIS,https://github.com/qgis/QGIS/issues/36121,qgis_QGIS_issues_36121,"Applying same value to multiple fields

Currently, this is possible using field calculator. But an easier way is: https://desktop.arcgis.com/en/arcmap/10.3/manage-data/editing-attributes/applying-the-same-attribute-values-to-multiple-features-in-a-layer.htm",Do you mean this https://docs.qgis.org/testing/en/docs/user_manual/working_with_vector/attribute_table.html#editing-multiple-fields ?,I'd better RTFM :)
qgis/QGIS,https://github.com/qgis/QGIS/issues/30194,qgis_QGIS_issues_30194,"value relation widget, data is saved as Key Column values instead of Value Column values

When using the value relation widget on a column all the data is correctly visualized as Value Column values but in the background the data is actually saved as Key Column values. This becomes clear when trying to set up an expression refering to a column with a Value relation widget or trying a search by expression on such a column.",What QGIS Version? Can you please attach a sample project with data and the detailed steps to follow in order to replicate?,"Hi, I'm working in qgis 3.6.3 I recreated the problem in a small project (see attachment). I set up a simple value relation (no cascades applied here) for ""field1"" I set up ""field2"" to have a default value (when updated) based on an expression refering to ""field1"" In the expression I used both Key column values and Value column values. Only in the features where the Key column is used the expression is applied. Other simple test: do a search by expression ""field1"" = 'S' gives two results ""field1"" = 'sad' gives no result I also figured this could be by design, but it's not intuitive this way (at least for me it wasn't). Speaking of which, I also posted a feature request (back on Redmine) on the value relation widget (#29640) which hasn't produced any response so far. This one also deals with the practical useability of this widget when wanting to make a more than one step drive down cascade. [bugreport_valuerelation.zip](https://github.com/qgis/QGIS/files/3286748/bugreport_valuerelation.zip)"
qgis/QGIS,https://github.com/qgis/QGIS/issues/31356,qgis_QGIS_issues_31356,"Virtual Layer SQLite Natural Join - Instant Crash

**Describe the bug** My understanding is that QGIS is SQLite3 compliant, and as such, should be compatible with SQLite3 syntax and functions. **How to Reproduce** ![image](https://user-images.githubusercontent.com/19295950/63547312-de7ac780-c4f9-11e9-941a-991ed764fa3a.png) Create new Virtual Layer Import needed layers (One MultiLineString, one Table) Write SQLite Code: SELECT * FROM ""CAMP-RS_JobsList_XLS"" NATURAL JOIN ""Reconciled"" Test & get valid SQLite code confirmation Click Add and QGIS crashes instantly to desktop **QGIS and OS versions** QGIS version | 3.8.2-Zanzibar | QGIS code revision | 4470baa1a3 -- | -- | -- | -- Compiled against Qt | 5.11.2 | Running against Qt | 5.11.2 Compiled against GDAL/OGR | 2.4.1 | Running against GDAL/OGR | 2.4.1 Compiled against GEOS | 3.7.2-CAPI-1.11.0 | Running against GEOS | 3.7.2-CAPI-1.11.0 b55d2125 PostgreSQL Client Version | 10.8 | SpatiaLite Version | 4.3.0 QWT Version | 6.1.3 | QScintilla2 Version | 2.10.8 Compiled against PROJ | 5.2.0 | Running against PROJ | Rel. 5.2.0, September 15th, 2018 OS Version | Windows 10 (10.0) | |",Can you add a sample dataset?,"@gioman, I'll have to see if I can create a sanitized dataset for sharing. @roya0045, I'll see what I can get. Currently, nothing gets logged at all by QGIS, nor does QGIS make a dump file. I think there might be a MS/SysInternals tool I can try to see if it'll capture anything."
