ZOOKEEPER-29,Why do we need another protocol change?
ZOOKEEPER-29,What are the implications of this?
ZOOKEEPER-29,Meaning is their anycase where the servers can diverge on the databases?
ZOOKEEPER-29,Isn't it the issue of ZOOKEEPER-367?
ZOOKEEPER-29,[exec] Run: 32   Failure total: 1   Failures: 1   Errors: 0      [exec] make: *** [run-check] Error 1      [exec] Result: 2  test-core-cppunit:  test-core:  test-contrib:  BUILD SUCCESSFUL Total time: 9 minutes 32 seconds Recording fingerprints Publishing Javadoc Recording test results finished: SUCCESS   Am I reading it wrong?
ZOOKEEPER-30,"It also adds the request to Leader.outstandingProposals; Follower receives a Leader.PROPOSAL: line 223 of Follower.java, case Leader.PROPOSAL; Follower sends a Leader.ACK on SendAckRequestProcessor.processRequest(): line 40; FollowerHandler?"
ZOOKEEPER-30,Harvey Mudd Clinic Team writes: 1) How do you suggest we deal with zxids?
ZOOKEEPER-30,"Is this what you are suggesting by indicating ""propose(byte message[])"" return a zxid (Zab transaction identifier)?"
ZOOKEEPER-30,"2) Should Zab handle writing the log to a file or is that ZK's responsibility when ""deliver"" is called?"
ZOOKEEPER-30,3) How does propose work more specifically?
ZOOKEEPER-30,What is the state of the proposal when propose returns?
ZOOKEEPER-30,4) How does the state transfer work?
ZOOKEEPER-30,Are we transferring the entire log up to that point?
ZOOKEEPER-30,Some snapshot?
ZOOKEEPER-30,Any further thoughts on this?
ZOOKEEPER-30,Harvey Mudd Clinic Team writes: 1) Is the assignment of zxid by Zab asynchronous?
ZOOKEEPER-30,2) What's the status of the proposal when propose returns?
ZOOKEEPER-30,Just that the Zab leader has seen it or do we know it's been delivered?
ZOOKEEPER-30,"4) Do the getState() and setState() callbacks really belong in the Zab API, or do they actually belong in the (so far theoretical) logging module?"
ZOOKEEPER-30,"Whose state, exactly, is being transferred and stored?"
ZOOKEEPER-30,"I might be way off, but would this be an opportunity to add paxos capability?"
ZOOKEEPER-30,"Hi Krishna, Could you be more specific about what you mean by adding paxos capability?"
ZOOKEEPER-30,Is there anything important I'm missing?
ZOOKEEPER-30,Are you still planning on doing that once we are done?
ZOOKEEPER-30,Does it sound good to you?
ZOOKEEPER-30,Does it?
ZOOKEEPER-30,How should they work?
ZOOKEEPER-30,Is there a reason we need to return zxid's?
ZOOKEEPER-30,Is it only so implementing applications can identify which committed proposals originated from themselves?
ZOOKEEPER-30,Could we just add a server id and local id instead of having to wait for the zxid from the leader?
ZOOKEEPER-30,"We're looking at a way to get you public read access to our repository, but until then is there some other way we could get it to you?"
ZOOKEEPER-30,"Would the Zookeeper team be available to sit in on our presentation and possibly do a code review (like we did last fall, but reversed) on May 11, 12, or 13th?"
ZOOKEEPER-30,Any comments or suggestions?
ZOOKEEPER-30,How are we going to apply them if you can't?
ZOOKEEPER-30,would it be possible for you guys to break up the patch like - 1) patch for changes in persistence 2) patch for changes in quorum something liek that?
ZOOKEEPER-30,Anyone working on this?
ZOOKEEPER-33,this pathc addesses the issues pouinted out by ben.. ben can you take a look again?
ZOOKEEPER-33,Right?
ZOOKEEPER-34,"Since jute is deprecated, maybe this issue could be closed?"
ZOOKEEPER-36,What types of use cases does  this mod_* address?
ZOOKEEPER-36,Any example of use?
ZOOKEEPER-36,Suppose you used the trailing slash in the URI to distinguish meanings?
ZOOKEEPER-36,this looks pretty good  just two minor nits   can you add licence header to SPEC.txt?
ZOOKEEPER-36,also some javadoc to ZookeeperService.java?
ZOOKEEPER-38,could you get rid of them andrew and upload the patch again?
ZOOKEEPER-38,5) i dont see any use case of more persistence layers as -D expressions?
ZOOKEEPER-38,what if we had something like this  -Dpersisten.provider=classname and then just use reflections to create the provider class else we just return the default provider.
ZOOKEEPER-38,"Wrt point 5, if I understand the question correctly, what if we want to run multiple zookeeper servers within the same JVM and you want to be able to associate different providers with each of those servers?"
ZOOKEEPER-38,How's the cracking been going so far?
ZOOKEEPER-38,did i remove something?
ZOOKEEPER-39,the patch looks good ... andrew is zookeeper-50 taken care of in this patch?
ZOOKEEPER-40,"I think this is supported now, right?"
ZOOKEEPER-43,"In general I'm ok with this patch but I see the following issues which need to be addressed: 1) update this jira with some detail on why/how of the changes, include potential impact on new/legacy code 2) update the forrest documentation to reflect this change    programmers guide, specifically watches section (general info and the option to turn off)    does/should this cause changes to the example code in the docs?"
ZOOKEEPER-44,The question is: do we really want things sorted?
ZOOKEEPER-44,+1 .. thanks jakob ....  nit: is %1$ redundant?
ZOOKEEPER-44,i had to look up the formatter in java for this ... i think %010d should be fine?
ZOOKEEPER-44,"This is probably a separate issue, but is anyone worried by the fact that after ~2 billion creates, the sequence number will wrap around and break various algorithms?"
ZOOKEEPER-45,do we want to create a zookeeper/site like in hadoop where the web pages are stored?
ZOOKEEPER-45,> do we want to create a zookeeper/site like in hadoop where the web pages are stored?
ZOOKEEPER-45,not sure.. comments?
ZOOKEEPER-45,3) workspace/zookeeper_apache/src/java/main can we use some other name other than main..  i like core?
ZOOKEEPER-48,"2) could you add documentation for ""fixupACL"" method?"
ZOOKEEPER-48,"3) line 409 (fixupacl method) logs error for ""missing authenciation provider..."", is this really an error?"
ZOOKEEPER-48,Perhaps a new jira for this?
ZOOKEEPER-48,Ben what's the status on this one?
ZOOKEEPER-48,Is it ready for review or further work needs to be done?
ZOOKEEPER-50,Ben can you update the docs appropriately?
ZOOKEEPER-51,"however, the identities are associated with requesters by the server when a requester does an auth request."
ZOOKEEPER-55,Andrew would you mind looking into this?
ZOOKEEPER-57,Are you writing all your logs to the same shared device?
ZOOKEEPER-57,"Are there any messages on the server logs around this time:      2008-07-01 06:07:25,641 that indicate why that happened?"
ZOOKEEPER-57,"When you got those time out messages, was the client (or clients) idle?"
ZOOKEEPER-57,"If possible, could describe a little more your setup?"
ZOOKEEPER-58,just marking this issue as having a patch - does a committer fancy applying it?
ZOOKEEPER-59,since outstandingrequests does nto control the enable and disable receive then this is just a patch to fix the counters right?
ZOOKEEPER-59,This cannot be responsible for connection loss right?
ZOOKEEPER-59,also – just to understand the patch —  it makes three changes —  1) remove synchronized block around disable recv  2) consistent guard arnd incr/decr outstandingrequests 3) removed synchronization around sk ops in doIO()  is that right?
ZOOKEEPER-59,Looks like patch _2 replaces _1?
ZOOKEEPER-59,"Flavio, do the tests pass for you with this patch applied?"
ZOOKEEPER-59,Whatever happened with this patch?
ZOOKEEPER-59,"Hi Flavio, what's the status of this patch?"
ZOOKEEPER-59,"flavio, will you be updating this patch?"
ZOOKEEPER-59,don't you really want to   synchronized(this) {outstandingRequests--;}   so that you aren't locking this and this.factory?
ZOOKEEPER-59,"Ben, could you please check my previous post to see if you agree?"
ZOOKEEPER-59,"Is this patch likely to fix this problem for future versions, or is it something different?"
ZOOKEEPER-60,does make run-check in the c directory still working with these changes?
ZOOKEEPER-60,"Also, the change to config.ac to remove the check for the generated code, why was this done?"
ZOOKEEPER-60,Couldn't you have 2 locations for the script?
ZOOKEEPER-60,"""./tests/test-zkServer.sh"", which if found is used, otw just try test-zkServer.sh and rely on the path?"
ZOOKEEPER-63,1) there is still the stated race condition 2) what is causing the underlying hang?
ZOOKEEPER-63,Given that the client is closing; is it really correct to leave it potentially hanging around forever just because it cannot be sure if the disconnect packet was received and properly processed by the server?
ZOOKEEPER-63,"If the socket is dead before the call to close(), is it really correct to block until a connection can be re-established, just so it can be properly closed - when the code will effectively close the hung socket without sending a disconnect packet anyway  ?"
ZOOKEEPER-63,"So do we really need to be super strict on the client side, forcing clients to block when trying to shut down if they can't do so cleanly within some time period?"
ZOOKEEPER-63,"I agree with your comments, in addition the patch should address: 1) there is still the stated race condition 2) what is causing the underlying hang?"
ZOOKEEPER-63,"-1 on the patch, still have the stated unresolved issues with this change: 1) there is still the stated race condition 2) what is causing the underlying hang?"
ZOOKEEPER-63,"Just wondering, why are you frequently connecting/disconnecting a client?"
ZOOKEEPER-63,Could you establish a connection and keep it open for a long(er) period of time?
ZOOKEEPER-69,do we have to choose between the 4?
ZOOKEEPER-69,So Jeff does that mean that you don't like the logo?
ZOOKEEPER-74,Couple of quick questions: a) Do we want to go the route of refactoring the code from a few UML and sequence diagrams or just wing it ?
ZOOKEEPER-74,"b) As you guys know the code better, what is the approx effort involved ?"
ZOOKEEPER-74,Is it a question of cleaning up the object graph (creation et al) or more involved ?
ZOOKEEPER-74,c) What is the time frame for 3.2.0 ?
ZOOKEEPER-75,Were those intentional?
ZOOKEEPER-77,Should it ever be the case that the path can be null?
ZOOKEEPER-78,Is there a particular reason for including it or it is there by accident?
ZOOKEEPER-78,Does that make sense?
ZOOKEEPER-78,Huh?
ZOOKEEPER-78,Everyone has access to ASF svn?
ZOOKEEPER-78,> Everyone has access to ASF svn?
ZOOKEEPER-78,"> FWIW I've attached about 5 patch files so far, with none of them being committed anywhere [ ...] Are they getting reviewed promptly?"
ZOOKEEPER-78,Can we focus on the issue at hand?
ZOOKEEPER-78,"Perhaps the answer is to make the method naming and semantics as close as possible, without actually implementing Lock proper?"
ZOOKEEPER-78,"Really only WriteLock should be public, with public methods lock(), unlock(), getDir() (better named as getLockPath() or similar?"
ZOOKEEPER-78,> i am implementing the recipes in c. Should the C version go in a separate Jira issue and patch?
ZOOKEEPER-78,"Should we add a new ""recipe"" component?"
ZOOKEEPER-78,"This first set of comments is relative to the structure/build/packaging (ie non-code) issues: I think the jar name should include ""recipes"" ie for locks: zookeeper-3.2.0-recipes-lock.jar how about a ""superset"" recipes/zookeeper-3.2.0-recipes.jar with all recipes included?"
ZOOKEEPER-78,"users can choose which to use There seems to be an issue with recipes in release build - actually same issue with contrib: you cannot run ""ant test"" on lock recipe in the released tar file build using ""ant tar""   seems build.xml and build-recipes.xml are missing from tar file docs - I think it's ok not to have specific forrest docs inside locsk, but need: recipes/README.txt   what is this code?"
ZOOKEEPER-78,what are requirements for authors?
ZOOKEEPER-78,"(like interop btw c/java for particular impl)   also req that recipe be documented in recipes documentation in forrest   describe and point to forrest docs in docs/... (should put link to live h.a.o doc as well)   is there some high level bit of informatin that you want to convey to authors re how components     should be designed (in particular session mgmt, error handling, logging, etc...) this is a good place to put recipes/lock/README.txt   describe and point to forrest docs in docs/... (should put link to live h.a.o doc as well)   pointer to javadoc (ie live h.a.o site)?"
ZOOKEEPER-78,are the forrest recipe docs up to date relative to impl for locks?
ZOOKEEPER-78,which lock in particular from docs.
ZOOKEEPER-78,"any deviation(s), any specific impl detail that's important, configurability?"
ZOOKEEPER-78,might be good to update the forrest recipe docs to point to this jar/code for implementation   ie let users know that they can get this from the release in recipes/locks (they don't need to impl) how do we verify interop?
ZOOKEEPER-78,"These comments are relative to the java code: cleanup imports writelocktest indentation problem line 87 do we want to talk about leaderelection in locks, or just implement another le in recipes (small wrapper)?"
ZOOKEEPER-78,"znodename.java - log failure in exception handlers protocolsupport retrydelay eats interrupt, ie lock cannot be interrupted shouldn't writelock.lock throw connectionloss if closed?"
ZOOKEEPER-78,"the javadoc is not clear - what happens in the ""later"" case?"
ZOOKEEPER-78,does this block?
ZOOKEEPER-78,what happens if expired or discon?
ZOOKEEPER-78,etc... line 148 of writelock                     long sessionId = zookeeper.getSessionId(); what ensures that sessionid you get back is valid?
ZOOKEEPER-78,(ie non-zero) This is pretty large anony class - why not have a specific static class definition?
ZOOKEEPER-78,"Plus all in one method rather than broken out (even indentation is deep) Would be easier to maintain if broken into several methods writelock line 208                                     try  {                                         lock();                                     }  catch (Exception e)  {                                         LOG.warn(""Failed to acquire lock: "" + e, e);                                     } what happens if lock returns false (isclosed for example)?"
ZOOKEEPER-78,Some of these classes look reusable (prot/name/op) - should they be in this recipe or elsewhere?
ZOOKEEPER-78,in tests might want to use localhost rather than 127.0.0.1 (if ipv6 only host?
ZOOKEEPER-78,having short test time is a win   any chance you can actively poll rather than just sleeping?
ZOOKEEPER-78,"also some similar comments as java - for example getting client_id in operation, this may be invalid if the session is not established?"
ZOOKEEPER-78,what does this mean?
ZOOKEEPER-78,"some comments: in unlock, we shouldn't call the callback if the unlock had an error should we?"
ZOOKEEPER-78,in zope.execute() how would id be null in the 2nd if block?
ZOOKEEPER-78,Collections.sort() would simplify your sorting wouldn't it?
ZOOKEEPER-78,"for both C and java, shouldn't the lock and unlock be synchronized?"
ZOOKEEPER-78,wouldn't it be better to only nano_sleep if you have to retry?
ZOOKEEPER-79,How closely does your implementation match what Jacob has documented?
ZOOKEEPER-79,Are you interested to take on this JIRA as well – ie you document the election protocol outlined by Jacob on the wiki?
ZOOKEEPER-80,Perhaps you could have gone with a link to the mail archive?
ZOOKEEPER-80,for each?
ZOOKEEPER-80,Does that work?
ZOOKEEPER-80,Similar comment as 103 - doesn't this result in a large number of directories in trunk?
ZOOKEEPER-80,Is that a good thing?
ZOOKEEPER-81,i think the build.xml only allows building of jmx with 1.6?
ZOOKEEPER-81,doesnt it?
ZOOKEEPER-81,Perhaps that mxbean feature is only needed at runtime?
ZOOKEEPER-81,"Although there is absolutely nothing wrong with your patch, would you be terribly disappointed if I leave the things the way they are and simply close this jira as ""won't fix""?"
ZOOKEEPER-81,it changes NOTHING significant and lets the module compile under java 1.5 have you seen that it just changes ONE line?
ZOOKEEPER-81,Are you sure that you even have a Java 6 runtime dependency?
ZOOKEEPER-81,Would you like to verify whether or not there is a Java 6 runtime dependency?
ZOOKEEPER-81,Would you be willing to contribute a patch (including this change) to break such a dependency?
ZOOKEEPER-81,Would you be interested in implementing additional JMX beans?
ZOOKEEPER-81,Sure.. could we get this patch committed first?
ZOOKEEPER-82,Anybody have a chance to review the patch?
ZOOKEEPER-82,"Also the javadoc in QuorumPeer is referencing ""main"" method which no longer exists - was main removed accidentally?"
ZOOKEEPER-82,Assume -R?
ZOOKEEPER-83,So I think the question really is why keep ANT?
ZOOKEEPER-83,But does it actually happen?
ZOOKEEPER-83,"Yes we sign the releases, but how often do folks actually validate against it?"
ZOOKEEPER-83,Is that the only issue?
ZOOKEEPER-83,> Is that the only issue?
ZOOKEEPER-83,I believe there is a way to use ANT to create Maven modules for the repository right?
ZOOKEEPER-83,Do you guys have an opinion on either of those two routes?
ZOOKEEPER-83,> I believe there is a way to use ANT to create Maven modules for the repository right?
ZOOKEEPER-83,What do you think?
ZOOKEEPER-83,are we going to close this one then ?
ZOOKEEPER-83,"As Zookeeper development,  is it necessary to use maven to build ZK?"
ZOOKEEPER-84,"james,   I do not understand where you want ot add a reconnect?"
ZOOKEEPER-84,Can you explain what this jira is about?
ZOOKEEPER-84,does that make sense?
ZOOKEEPER-84,I'm kinda confused by that  So what am I meant to do if I get a SessionExpiredException?
ZOOKEEPER-84,Right now the only option I can see is to recreate from scratch the entire ZooKeeper object?
ZOOKEEPER-84,Maybe the issue is the phrase reconnect() - maybe a method called recreateNewSession() is better?
ZOOKEEPER-84,We could also document it that this is only to be called if your client becomes invalid because the ZK server has expired the session?
ZOOKEEPER-84,the ZooKeeper will reconnect by default if the socket fails right?
ZOOKEEPER-84,Who is in charge of doing the reconnect() and deciding when it is safe?
ZOOKEEPER-84,"Ben I'll assign to you, can you document this on the ASF wiki, then close?"
ZOOKEEPER-87,What do you think?
ZOOKEEPER-87,do you mean the follower will stop reading requests ?
ZOOKEEPER-87,Are you referring to clients connected to this server that will fail-over their session to another server?
ZOOKEEPER-87,"I haven't been able to find any timeout for proposals waiting for acknowledgement, is that really the case?"
ZOOKEEPER-87,Could anybody please tell me if I have read things wrongly?
ZOOKEEPER-87,Any comments on the proposal?
ZOOKEEPER-87,Could anyone please comment on the proposal in the patch?
ZOOKEEPER-87,The last test seemed to failed due to problems in the machine?
ZOOKEEPER-87,Is it ok?
ZOOKEEPER-87,"So actually the ""longest time between a proposal and its ACK "" is (((2 * syncLimit) + 1/2) * tickTime) ... isn't there a way to edit comments after one posts them?"
ZOOKEEPER-87,Any more questions on this one?
ZOOKEEPER-87,Why are you synchronizing the methods in SyncLimitCheck?
ZOOKEEPER-92,"Hi Matt, some details for submitting as a patch here: http://wiki.apache.org/hadoop/ZooKeeper/HowToContribute do you think this is a contrib, or should be included in main?"
ZOOKEEPER-92,Would you mind removing the existing attachments I included in this Jira?
ZOOKEEPER-92,"This seems like an unnecessary code duplication, so I wanted to see if anyone was open to making NIOServerCnxn.Factory protected in ZooKeeperServerMain?"
ZOOKEEPER-92,I'm assuming that you guys don't want dependencies on Spring in the zookeeper core code base?
ZOOKEEPER-92,Does this mean that I should check these in as a contrib module?
ZOOKEEPER-92,"If I do go the route of creating a contrib module, then what is the process to make sure that jars are built for this module and put into Maven?"
ZOOKEEPER-98,"+1, does this imply that we should move jmx to contrib?"
ZOOKEEPER-99,This blog post also shows that in some cases JMX UIs render the bean fields better with mxbeans than with std mbeans Can you explain a bit about why ZooKeeper cannot be embedded into JBoss currently?
ZOOKEEPER-99,Doesn't JBoss support MXBeans?
ZOOKEEPER-99,"This was standardized in java6, no?"
ZOOKEEPER-99,that I would need to try this out?
ZOOKEEPER-102,"Does anybody know, whether avro is wire compatible with jute?"
ZOOKEEPER-102,Would this be a good Google Summer of Code task?
ZOOKEEPER-102,avro is wire compatible with jute?
ZOOKEEPER-102,Would this be a good Google Summer of Code task?
ZOOKEEPER-102,"So, how about avro now in hadoop，and any paln to replace jute?"
ZOOKEEPER-102,Do we really care enough to make this worth doing?
ZOOKEEPER-102,)?
ZOOKEEPER-102,"maoling Instead of sinking even more time into jute, may I recommend that ZK simply replace the jute framework with something else?"
ZOOKEEPER-102,Why aren't you considering that?
ZOOKEEPER-102,maoling would you start a DISCUSS thread on the dev mailing list to collect the pros and cons of the options?
ZOOKEEPER-102,Here is a important question: shall we want an intermediate stage support both jute and the other serialization framework?
ZOOKEEPER-102,1 --->shall we want an intermediate stage support both jute and the other serialization framework?
ZOOKEEPER-102,"maoling, Zili Chen have you thought about upgrade from ZK 3.5 to 4 with rolling restart?"
ZOOKEEPER-102,"If ZK 4 won't be compatible with ZK 3 at all, how do we have a migration path for existing users?"
ZOOKEEPER-102," If we move to other serialization library and only gain about 10% performance booster, Is it all completely unnecessary to replace Jute?"
ZOOKEEPER-102,Serialization may be not a bottle-neck for the system?
ZOOKEEPER-102,"maoling > If we move to other serialization library and only gain about 10% performance booster, Is it all completely unnecessary to replace Jute?"
ZOOKEEPER-102,Serialization may be not a bottle-neck for the system?
ZOOKEEPER-102,"Andor Molnar I am not quite sure if things work as I describe above, could you help review the statement and correct me if I'm wrong?"
ZOOKEEPER-102,Anyone have experience here?
ZOOKEEPER-102,"Here's a stab at a game plan:  Step 1 - remove use of Jute-based ByteBuffers from server-side code - replace with deserialized/real objects 	 ZooKeeperServer.processConnectRequest() ZooKeeperServer.processPacket() ZooKeeperServer.processSasl() Request.request – serialized client requests - this is the big one - is used everywhere ServerCnxn.sendBuffer() ServerCnxn.serialize() probably a few other places   Step 2 - Decision - Consider replacing Jute data structures with bespoke ZK server data structures 	 If Jute classes are retained, there's nothing more to do refactoring-wise Unless Jute classes are removed, upgrading/widening protocol will be difficult transaction/snapshot files - maybe these stay Jute?"
ZOOKEEPER-102,quorum/internal protocol - leave as is?
ZOOKEEPER-102,"How are you planning to coordinate work, exchange ideas, track progress, besides other details?"
ZOOKEEPER-102,jira/slack/mailing list/etc?
ZOOKEEPER-102,I would like to have just one question: How do you imagine migrating existing users/applications to your new solution?
ZOOKEEPER-102,> How do you imagine migrating existing users/applications to your new solution?
ZOOKEEPER-102,"If it works this way, could you please invite me?"
ZOOKEEPER-102,"Hi Jordan Zimmerman, Edward Ribeiro, Is the discussion on this topic still ongoing?"
ZOOKEEPER-102,"Could you summarize the status here, on the mailing list, or somehow make the discussion visible to non-apache.org people?"
ZOOKEEPER-103,"What about additional contributions, they would be new directories at the same level (child of trunk)?"
ZOOKEEPER-103,"trunk/zookeeper-recipes/..., trunk/zookeeper-spring/..., trunk/zookeeper-fuse/..., etc...?"
ZOOKEEPER-103,Any updates on this?
ZOOKEEPER-103,i like the new source tree structure — the only problem being that with contrib modules we will have lots of small contribs--- will they all have a top level directory?
ZOOKEEPER-103,I'm a bit concerned that this new structure results in a large number of toplevel (trunk) directories... just me or anyone else think this might be an issue?
ZOOKEEPER-103,Is there no way to configure Maven otherwise?
ZOOKEEPER-103,You didn't answer my question: Is there a way to configure Maven otherwise?
ZOOKEEPER-103,Could the rest of the committers please post their thoughts on this?
ZOOKEEPER-103,Any update on this issue?
ZOOKEEPER-104,"The only access to ""this.set"" is on the predicate of the if statement, and the call to create doesn't realy need to be synchronized, right?"
ZOOKEEPER-104,Makes sense to me that this should be part of the recipes src/contrib/recipes/src/java/org/apache/zookeeper/recipes/util/KeptSet.java package org.apache.zookeeper.recipes.util.KeptSet how's that sound?
ZOOKEEPER-104,3) i dont understand the while loops of while(true)  in all the zookeeper calls?
ZOOKEEPER-104,why do you need that anthony?
ZOOKEEPER-104,OK. >> i dont understand the while loops of while(true) in all the zookeeper calls?
ZOOKEEPER-104,why do you need that anthony?
ZOOKEEPER-104,does that make sense anthony?
ZOOKEEPER-105,i took a look at the patch.. its just a try catch block change right anthony?
ZOOKEEPER-107,How does this mesh with the common case of starting up a set of 5 servers forming a new cluster?
ZOOKEEPER-107,this seems to be in line with what you are thinking correct?
ZOOKEEPER-107,"IIUC, using a ZK node to expose the cluster config would mean that the cluster can't be created unless the cluster config is pre-populated?"
ZOOKEEPER-107,"We need to first create a log file that contains a config node that has the initial cluster members, copy them to all the nodes and power them on to create the cluster?"
ZOOKEEPER-107,Another alternative would be to have a single node come up first (with the log file pre-populated to contain a single server in the cluster config node) and then have all other servers join one at a time?
ZOOKEEPER-107,"One thing I am still missing is, how do we plan to reconcile the divergence in conifguration info during leader election if we use ZAB?"
ZOOKEEPER-107,"Now in the example that you bring up, if D, E and F have logged the new view and all the nodes are brought up after a power cycle, a split brain could still occur, no?"
ZOOKEEPER-107,Should we allow only one node to be added/deleted at a time?
ZOOKEEPER-107,Now what happens?
ZOOKEEPER-107,"IOW, would you like to own the design and implementation of this?"
ZOOKEEPER-107,Does that sound ok?
ZOOKEEPER-107,"Henry, just a question out of curiosity - how do you think the cluster will be created on day one?"
ZOOKEEPER-107,Would a 2/3 node cluster be built initially by powering on the servers using pre-populated configuration and then nodes are added/deleted dynamically?
ZOOKEEPER-107,"Or a cluster will be built incrementally using dynamic configuration change, starting with a single node?"
ZOOKEEPER-107,"When you start a new follower not in the configuration, do you run it  as a regular replica and let it find its way or you explicitly tell the follower to connect to the leader?"
ZOOKEEPER-107,"I think we can do it with leader election 0, though, if a leader has been elected and is running Are you planning on having observers as a separate feature, as per ZK-368?"
ZOOKEEPER-107,"rather than adding the inform, why don't we just send the PROPOSE and COMMIT to the Observer as normal, and just make the Observer not send ACKs?"
ZOOKEEPER-107,"I think this discussion is really interesting, but we can we move the discussion on the behavior of the observer to ZOOKEEPER-368?"
ZOOKEEPER-107,How do we plan to deal with a situation when a set of nodes can form a majority but  can't form an ensemble because one or more peers have a grossly outdated configuration?
ZOOKEEPER-107,Say an ensemble of ABCDE moved to EFGHI while E was offline and only EFG are up?
ZOOKEEPER-107,They form a majority but can't form an ensemble since E doesn't know about any of the other servers yet?
ZOOKEEPER-107,Any simpler solutions?
ZOOKEEPER-107,"I've only been following this a bit, and I see bits/pieces in the comments but not sure I follow it all – some questions around the plan wrt manageability: 1) adding removing servers, server itself needs to be configured, any changes needed to config on existing ensemble?"
ZOOKEEPER-107,I see Raghu has similar comment on this 2) JMX - what's the plan?
ZOOKEEPER-107,what additional properties/actions will be supported?
ZOOKEEPER-107,3) 4letter words - same issues as jmx 4) debug-ability - ensure adequate logging (log4j) on ensemble 5) security - will an ensemble allow any server to connect to it?
ZOOKEEPER-107,today we have ensemble participants hardwired into the config of each of the servers right?
ZOOKEEPER-107,testing and b/w compat – are we ensuring b/w compat btw this version and previous versions?
ZOOKEEPER-107,"Perhaps a wiki ""proposal"" page should be created that will capture the ""current proposal"" for easy review of this feature?"
ZOOKEEPER-107,Could you comment if this makes sense?
ZOOKEEPER-107,Any progress on this issue?
ZOOKEEPER-107,Can you please provide an update regarding how far we are with this and any documentation that you may have?
ZOOKEEPER-107,Has anything happened with this feature?
ZOOKEEPER-107,How about we define a API for initializing the cluster?
ZOOKEEPER-107,"Instead, can we use a mechanism similar to ZooKeeper watchpoints for this?"
ZOOKEEPER-107,"Should this be ""Send a messages to all members(M') to connect to members(M)?"
ZOOKEEPER-107,"Also, in step 7, why do you send leader(M') along with <activate-config>message>?"
ZOOKEEPER-107,"Submit a reconfig(M’) operation to leader(M)""     What if leader(M) fails after receiving the request, but before informing any other peer?"
ZOOKEEPER-107,How will the administrative client know whether to retry or not?
