issueid,post,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,correct_question
pgjdbc_pgjdbc_issues_1039,"Url is not get correct while the url is a fail over url in BaseDataSource
while the jdbc url is like 'jdbc:postgresql://host1:1523,host2:1523/db?targetServerType=master' , but while the BaseDataSource allways get connection from 'jdbc:postgresql://host2:5432,host2:5432/db?targetServerType=master' , It allways change the ports to default port because parse to integer exception while multiple ports figure out.","Can you show the entire push logs, as well as the initial command you ran?",Can you test the change on this [branch](https://github.com/whitingjr/pgjdbc/tree/ssl-property-detect) ?,How would you see this handling dependencies?,Could you give me an example of an incoming event?,do you have the time to put together a PR?,What specific requirement are you trying to address here?,Would you please submit a PR with at test case and/or the fix?,"Can you share your Rails, Ruby, and RSpec versions so I can look this more?","Can you try parameter `connection_properties` with `""ssl"" : ""true""`? See https://github.com/jprante/elasticsearch-jdbc#connection-properties-for-jdbc-driver",What is in your `SENTINELS`? Looks like there you might have the wrong hostname used.,Would you please submit a PR with at test case and/or the fix?
Studio3T_robomongo_issues_634,"Crash when querying collection
When I query a particular collection the application is crashing with the following error. ","What version of jdbi? What is the type of the argument? Is it itself an array, Iterable, or similar? There is explicit logic to protect against this case...",Did you mean to close this? What was the resolution?,What where you trying to do?,What version are you using? And what does your factory function look like?,Do you know why it happens?,What are the two queries that get produced?,"Can you query this from a standard `mongo` shell? Also, what version of MongoDB server are you using? Thanks!",Do you have a sample project demonstrating the problem? Also make sure to read: https://realm.io/docs/java/latest/#notifications,Did you find a solution?,Do you use predefined collections? I would have guessed the collection would be [] instead of null if there's no items.,"Can you query this from a standard `mongo` shell? Also, what version of MongoDB server are you using? Thanks!"
raspberrypi_linux_issues_450,"Latest firmware outputs HDMI 7.1 channel PCM as 5.1
The latest firmware (based on 3.10.19+) produces 7.1 channel PCM as 5.1 at the receiver. Using the current raspberry.org download of Arch Linux with its older firmware produces 7.1 channel PCM as 7.1 channels at the receiver, something went wrong around the time of the up-step from 3.6.x to 3.10.x. Copying the current *.dat, *.bin and *.elf files to the stock Arch Linux installation makes the problem happen there too. Running a 3.10.19+ kernel built using the Arch Linux config doesn't fix it. (Also the solution for the previous problem of S/PDIF encoded audio not being decoded at the receiver doesn't work with Arch Linux and 3.10.19+, though it is fine on Raspbian with the same firmware and the same 3.10.19+ source kernel built using the Raspbian config (which Arch Linux won't boot) ... Does the fix need a particular kernel option enabled or disabled? Both had the same *.elf, *.dat and /opt/vc files.)",Can you guys test with this commit? https://github.com/zeromus/libretro-common/commits/fix_dirent,do you have the latest libepoxy? and why is it installed in /usr/share? on ubuntu it installes in /usr/local/games,What's the kernel you are using? It seems 4.2 has better support. Take a look at this thread: https://bugs.launchpad.net/ubuntu/+source/linux/+bug/1272765 I had to follow the tip from comment 32.,"What power supply are you using? Do you get any low power warnings? (Yellow lightning bolt, error in dmesg?)",Do you patched the bionic libc of your system directory? As there is a patch you need to apply in order to be able to use android libraries with libhybris.,What program are you using to output 7.1 audio? Already formatted S/PDIF output as stereo PCM requires in config.txt: no_hdmi_resample=1 hdmi_stream_channels=1,Can you give a complete list of files you would like?,did you install it from the repositories or build it from source?,Do you have any other thoughts on this?,Does adding `initcall_debug` to the command line shed any light?,What program are you using to output 7.1 audio? Already formatted S/PDIF output as stereo PCM requires in config.txt: no_hdmi_resample=1 hdmi_stream_channels=1
cakephp_cakephp_issues_8440,"3.2.4 - Saving BTM as entities with joinData not working as expected
This is a (multiple allowed): - [x] bug - [ ] enhancement - [ ] feature-discussion (RFC) - CakePHP Version: 3.2.4 - Platform and Target: PHP 5.6.10, MAMP running Apache on port 80 ### What you did So, I know I've brought up stuff like this in the past and it usually came down to a user error, but I've been trying to get something to work for about 12 hours and I'm pretty sure it's a bug. I can't get `_joinData` to persist when saving BTM entities. For all examples, the `$this` context is inside `UsersTable`. Using arrays works as expected, `users_crews` has two records, one with primary=1, one with primary=0.  However, when running the above twice, it throws an integrity error, since the joint records aren't being checked to already exist. I'd expect that to happen automatically, but I guess with link, you have to manually check and unlink? That seems messy. ### Expected Behavior Patching an entity with BTM entities with _joinData should work as expected. ### Actual Behavior Explained inline above.","What is your field types in the database? The FormHelper infers field type based on your database schema (`varchar` being a text box, and `text` being a text area)",How are you constructing the date?,Why? Setting hidden = false seems redundant when it could just be elided from the list. What use cases does having hidden = false enable?,Does your `tests/bootstrap.php` have the following statement to fixate session id https://github.com/cakephp/app/blob/master/tests/bootstrap.php#L52?,What data are you attempting to validate?,Do those timezones work with PHP standard library?,What does your code look like that does multiple updates?,What isn't the same as your situation?,Did you also update to use the new PSR7 Application class? I ask because it will help in reproducing your issue.,Can you make a PR please?,What does your code look like that does multiple updates?
alexei_sprintf.js_issues_80,"Negative number passed to the first '%f'.
Hi, isn't this strange? sprintf(""%f and %f"", 12, 34) returns '12 and 34' ...OK sprintf(""%f and %f"", 12, -34) returns '12 and -34' ...OK sprintf(""%f and %f"", -12, 34) returns '-12 and -34' ...??? sprintf(""%f and %f"", -12, -34) returns '-12 and -34' ...OK",Do you have any UI thread transactions?,"Can you please give me some more information? Like version number, environment (i.e. browser or Node) etc. Alex","Do we want to fix this at all, or kick it out completely? I'd rather have a lua clamd connector, then this C hack.",what is your suggestion?,Can you provide a full email source (like one from MailCatcher's Download button) which produces this problem?,"Maybe different ""Success"" and ""Complete"" rows instead of a single ""Callbacks"" row?",Can you reproduce this with a more recent rustc build/nightly somehow? It errors properly without an ICE for me.,how does your `app/assets/stylesheets/active_admin.css.scss` looks like?,May I ask how you use this tool in your current setup?,Did you checked Tools > Options > VsVim > Keyboard ? Maybe it is handled by Visual Studio and not VsVim,"Can you please give me some more information? Like version number, environment (i.e. browser or Node) etc. Alex"
sbt_sbt_issues_1449,"0.13.5: autoImports always applied even if plugin not enabled
I have an AutoPlugin that looks like the following:  The plugin is added via addSbtPlugin(......) and the test case can be found here https://github.com/pfn/android-sdk-plugin/tree/master/sbt-test/android-sdk-plugin/lib-with-resources I would expect that autoImport is not applied unless enablePlugins() is called explicitly. Even if addSbtPlugin is used.",Do you have any idea if there is something in your installation that would differ from a standard installation?,"What I'm doing wrong? By the way, VersionEye didn't worked for build.sbt from this repo either.",Could you start a thread there?,Could you please try upgrading Cordova CLI and let us know if the issue persists?,Does it work if you do: sbt ~web/run ?,"Could you please let us know whether the issue persists, and, if it does, provide us with a simple reproducer?",How did you resolved the problem?,Maybe fold it into `compile`?,Can you try again and make sure that it worked the way you describe in 0.13.15?,Can you try with Play 2.4.x ?,Could you start a thread there?
ben-manes_gradle-versions-plugin_issues_26,"NullPointerException when checking for dependency updates
I get a NPE when checking for dependency updates, and I can't seem to find the reason in the debug/stacktrace log. ",Could you provide bit more detail? If it is serious problem I could make 1.0.2 which fixes this regression.,Does this happen when you use the the latest version of baksmali directly (2.1.2) to disassemble the apk?,"Do you have basic authorization (or other kind of authorization) enabled in your server? Of course, it shouldn't crash anyway, we need to fix it.",What version of Gradle are you using?,Can you please provide your Gradle build file? Or can you even track down the specific dependency that causes the issue?,What context are you passing in to the constructor of Intent() ? I would use Robolectric.application,Could you copy/past the annotated method ?,Does the package.json file you're analyzing not have a version number?,Did you do this step? https://github.com/UniversalMediaServer/UniversalMediaServer/blob/master/BUILD.md#6-resolve-and-install-external-libraries,"What's producing those `nil` frames? Clearly we have a bug, but we have to make sure we're solving it properly.",Can you please provide your Gradle build file? Or can you even track down the specific dependency that causes the issue?
curl_curl_issues_737,"curl_easy_perform locks when using mbedtls
I got an issue with libcurl after migrating from cyassl to mbedtls. I configure my easy_handle to do a HTTPS POST than I call curl_easy_perform which locks and never returns. The same code works like a charm when using cyassl. More precisely, with cyassl I can see that my write function (CURLOPT_WRITEFUNCTION) is called 2 times, one time for 212 bytes, and then for 9 bytes. With mbedtls I receive the first call only. Sometimes the second call arrives after a long delay (several minutes). Maybe it is the same bug than #334 ? I use libcurl 7.47.1",Can you elaborate on why you want/need this?,"What do you mean by infinite, how long did you wait? multi_done waits on the resolve to complete so it can block waiting for getaddrinfo to return https://github.com/curl/curl/blob/db2ac90eaf45f995608cf97bb1b2f811a143477e/lib/multi.c#L536-L539",Why does it complain on that line? And why aren't you building the latest version instead?,What if you try:  instead?,"Can you verify that when this happens wrongly for you, is the `num` argument to that function holding the value `1` ?",Can you check if #2809 perhaps fixes this?,What version are you seeing the problem in? Commit 9ef50ee0a436a via #1853 changed a few things in that territory.,"Can you tell us how to reproduce this issue, ideally against a public URL?",What is the curl_version()? What makes you think this is a bug in libcurl? Did you wireshark it?,Would you agree?,"Can you tell us how to reproduce this issue, ideally against a public URL?"
rethinkdb_rethinkdb_issues_1210,"JS Driver failing on insert
Running this code using node v0.10.15 ",Does this cause problems?,Can you follow below steps? ,Do you get the same exception after updating to 1.7.1?,Would it be possible to provide a network packet capture of the error packet?,Can you provide npm version and what terminal you are using?,Can you provide more of the logs? Preferably _all_ of them?,What is your build setup? Can you provide demo project that reproduces this issue?,What you expected to happen instead Requesting a new rule? Please see [Proposing a New Rule](http://eslint.org/docs/developer-guide/contributing/new-rules) for instructions.,When does the call to get the elements happen? I would think that the fragment you show should work.,What version of the server are you running? `r.json` only exists in 1.7+.,What version of the server are you running? `r.json` only exists in 1.7+.
BuildCraft_BuildCraft_issues_1046,"Weird rendering when outside of the chunk a quarry is in
Whenever I place down and start to use a quarry, as long as I'm in the chunk that the quarry has loaded, the rendering is fine, but whenever I move outside of it the world starts to flash black whenever the arm moves to destroy blocks. This has happened on multiple occasions.",What do you mean by that? The game doesn't save?,Can you upload the raw .nbt file to dropbox and paste a link?,Which version of BuildCraft?,Shouldn't you just mark your TileEntities as modified whenever something changes inside of them? That's what I do and I never ran into that issue.,What sort of time period are we talking here? Any chance you can take `master` for a spin? It's an ever new build of `CEF`,"what BC/MC version are you using, can you provide screenshots or a video/gif of what heapens?",Did you do that?,Can you put the full crash log or full log file? That crash thread doesn't look quite right...,Maybe check in https://github.com/mui-org/material-ui/blob/2e7c7d59cee24139074294ee9601a78dafae0fb5/packages/material-ui-lab/src/Slider/Slider.js#L344 if we left the window?,"Can you retry with [7.99.24.6-pre.2](https://mod-buildcraft.com/releases/testing/BuildCraft/7.99.24.6-pre.2/buildcraft-all-7.99.24.6-pre.2.jar), from the [tests page](https://mod-buildcraft.com/pages/tests.html)?",Did you do that?
moby_moby_issues_27877,"Unable to push image to custom registry (retrying issue)
I have same issue as @vikas027 at #22188, but as there is recomendation to put it into new issue, I'm writing here. That's interesting that the problem appears only for big images (>100Mb), and small images works fine. # Environment ",Can you trying again with this new version?,Do you have a sample app with the same URLs I can try?,Could it be the custom partition is not mounted before the docker service is started?,Can you elaborate on exactly how you set this up? Using nginx? or HA?,Can you provide a live link so your use case is clear?,"However, I am not using the any Azure Blob Storage plugins, could it be that this is the issue, are you using version 1.0.3 of this one? https://our.umbraco.com/packages/collaboration/umbracofilesystemprovidersazure/",Can you paste the log entries in `/var/log/netdata/error.log` around one of those time periods?,Could I ask you to please open an issue on the Docker for Windows issue tracker? https://github.com/docker/for-win/issues,Can you confirm you have [imagesloaded.pkgd.min.js](http://imagesloaded.desandro.com/imagesloaded.pkgd.min.js) on your page?,Can you attach a sample raw image? (Or provide full make/model for your camera),Can you elaborate on exactly how you set this up? Using nginx? or HA?
sonata-project_SonataAdminBundle_issues_1573,"Method ""activesubclasscode"" does not exist
After installing AdminBundle 2.2 with SonataUserBundle which extends FOSUserBundle I het this error when trying to edit/add new user in admin:",Did you overwrite templates ? The breadcrumb has been refactored a bit (b43ccc9c2b830837581020f84c35f06fca22890e),Can you print a stack trace ? so we can find the wrong method call,can you paste your template ?,Did you use the branch master for AdminBundle ?,"What do you mean by ""only works if ..."" ? Is there any error or do you got an empty result ?",Can you verify if the entity managers are the same object or if they are a different instance?,Can you open a new ticket for point 4 in the SonataAdminBundle tracker ?,Which command did you run exactly? Can you paste full trace of it?,What if you change the `field_type` option to `sonata_type_date_range`? The error still there? Cause I think that there are no Type for a data_range_picker.,Could you please provide a code snippet from `configureFormFields()` showing the code required to reproduce the issue?,Did you use the branch master for AdminBundle ?
sheadawson_silverstripe-linkable_issues_80,"Anchor links not prepending hash symbol.
Anchor set as part of Link: ![screen shot 2017-11-13 at 8 22 21 am](https://user-images.githubusercontent.com/505788/32702430-07b59d5c-c84c-11e7-982e-b532c848d0d1.png) Resulting link: ![screen shot 2017-11-13 at 8 21 55 am](https://user-images.githubusercontent.com/505788/32702443-3addcfce-c84c-11e7-90f5-2d2527fba221.png)",Does this warrant its own new example? work in progress pr: https://github.com/mrdoob/three.js/pull/13060,can you provide some example URLs?,Did you recently upgrade your Node.js version?,Do you have the full example how `output` had looked like? I don't think that your example reveals much information about how`output` was,"can you check what the HTTP response is, to see exactly what gets transmitted ?","Do you have it installed? , That looks just like the old version that the lastest release had fixed",Maybe using them together isn't the best approach here?,Maybe the ideal solution would be a check to see if ? or # have not been included on save then prepend #.,Can you provide a minimal project reproducing this? Thanks.,Could you check 3.3-dev out and confirm that the problem doesn't occur?,Maybe the ideal solution would be a check to see if ? or # have not been included on save then prepend #.
mathjax_MathJax_issues_2069,"some formula not work properly in chrome
Some formula not work properly in Chrome: formula 1:  display: ![wx20181010-235626](https://user-images.githubusercontent.com/5145759/46749365-22048280-cce8-11e8-801e-56cd9a01b736.png) minus and prod are all missing. These problems happen on chrome, but work properly on safari. PS: OS version: macOS High Sierra Version 10.13.6 Chrome version: Version 69.0.3497.100 (Official Build) (64-bit) Safari version: Version 12.0 (13606.2.11) MathJax version: v2.7.4 And these formulas can also been found on my blog: https://time-track.cn/logistic-regression-introduction.html",Could you run this on the 6.x branch to see if that has the same crash?,What version of node are you using? And have you used yarn to install dependencies?,Could you describe your case in more detail so we can try to reproduce it?,Could you please provide the full sample so I can run and reproduce it here?,Do you have some plugin that disables page-specified fonts? Can you try running Chrome without plugins and see if that affects anything?,"Can you try removing the empty line on line 2? Otherwise, it's calling explain without a body.",Could you check if there's any error in the browser console?,Do you see it frequently - ie 100% of the time?,Do you need colors in CI?,"Maybe I should make it so that will show in a popup box if you click, also? I could make it scrolly and sorty like the VCF genotypes too.",Do you have some plugin that disables page-specified fonts? Can you try running Chrome without plugins and see if that affects anything?
robfig_cron_issues_241,"Unable to parse a range (strconv.Atoi error)
I am getting this error from the cron string ""*/1-4 * * * *"" Please let me know if this is just me being stupid or a bug. Because afaik ranges should be supported as a hyphen is an accepted character.",Do you have any sample code?,Maybe you accidentally commented out your post?,Can you give me the version of Java and Play you are using? It could help me sort this out.,"Can you run this same command but with `JRUBY_OPTS=""-Xbacktrace.style=raw -Xjit.threshold=0""` and `--trace` passed to rake, please? I need more information about where this is coming from.",What schedule are you trying to create? Refer here to Slash usage: https://en.wikipedia.org/wiki/Cron,What version of kafka-python and what broker version? What do your broker logs say?,Can you post the full stack trace?,"did you work in 0.7.4 before, and use 0.8 now? Also, could you try using the latest OF from the `master` branch to see if the problem still occurs?",does your BaseSpec extend GebSpec?,Can you provide any additional info?,What schedule are you trying to create? Refer here to Slash usage: https://en.wikipedia.org/wiki/Cron
electron_electron_issues_7127,"Web UI Bug - Cannot right click in WebUI
- Electron version: electron-prebuilt: 1.2.8 - Operating system: OSX 10.11.6 I'm just going to assume this issue is something in Atom. https://github.com/vincelwt/harmony/issues/17","Can you please try https://electronjs.org/fiddle, which is based on Electron 5 if it still reproduces?",Which browser are you in? I've seen this happen in firefox. We have a change to this logic on the v2.0.x branch that might fix it (or maybe not),"Do you have a crash dump @thomasdao? I ran this fiddle (& clicked around a bit, tried cancelling and actually sending a print job) and experienced no issues.",Does this happen every time? How do you connect to the internet? tethering your phone/tablet?,Can you run following command and see if there is any output? ,What is your qBt version?,Does your app include a context menu on right click?,What are you testing against? Maybe a German free mail provider?,Do you have a package.json in that directory? Does it have a `main` key pointing to main.js?,Can you give [`3.0.0-beta.6`](https://github.com/electron/electron/releases/tag/v3.0.0-beta.6) a try and let us know if you are still running into this issue?,Does your app include a context menu on right click?
